                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.67776,                 1.1973,                 1.1082,                0.73282,                0.71011,                0.76638,                0.66371,                0.52986,                0.94758,                 1.0474,              0.0057925,              0.0057925,              0.0057925
                     87,                0.67617,                 1.1852,                 1.1044,                0.74425,                0.70288,                0.77135,                0.66891,                 0.5284,                0.94267,                 1.0466,               0.005743,               0.005743,               0.005743
                     88,                0.67076,                 1.1748,                 1.0994,                0.73335,                0.71883,                0.77424,                0.67061,                0.52841,                0.92959,                 1.0477,              0.0056935,              0.0056935,              0.0056935
                     89,                0.67099,                 1.1712,                 1.1023,                0.72929,                0.71851,                0.77175,                0.66791,                0.52654,                0.93524,                 1.0433,               0.005644,               0.005644,               0.005644
                     90,                0.67106,                 1.1603,                 1.1012,                0.73779,                0.70771,                0.77283,                 0.6689,                0.52634,                0.93346,                 1.0446,              0.0055945,              0.0055945,              0.0055945
                     91,                0.66689,                 1.1499,                 1.0991,                0.73208,                0.71475,                0.77154,                0.66807,                0.52951,                 0.9329,                 1.0471,               0.005545,               0.005545,               0.005545
                     92,                0.66603,                 1.1482,                 1.0975,                0.74614,                0.70661,                0.77167,                0.66805,                 0.5286,                  0.933,                 1.0467,              0.0054955,              0.0054955,              0.0054955
                     93,                0.66543,                  1.132,                 1.1004,                0.73481,                0.71973,                  0.773,                0.66884,                0.53066,                0.92917,                 1.0478,               0.005446,               0.005446,               0.005446
                     94,                0.65451,                 1.1307,                 1.0913,                 0.7449,                0.72244,                 0.7752,                0.67128,                0.52923,                0.92102,                 1.0463,              0.0053965,              0.0053965,              0.0053965
                     95,                  0.655,                 1.1255,                 1.0949,                0.75849,                0.71243,                0.77652,                0.67362,                0.52494,                0.91533,                 1.0425,               0.005347,               0.005347,               0.005347
                     96,                0.65421,                 1.1088,                  1.092,                0.75586,                0.71355,                0.77657,                0.67412,                0.52601,                0.92276,                 1.0425,              0.0052975,              0.0052975,              0.0052975
                     97,                0.66094,                  1.127,                 1.1035,                0.74992,                0.71088,                0.77872,                0.67511,                0.52729,                0.92206,                 1.0427,               0.005248,               0.005248,               0.005248
                     98,                0.65522,                 1.1067,                 1.0885,                0.74735,                 0.7168,                0.77917,                0.67622,                0.52667,                0.91142,                 1.0425,              0.0051985,              0.0051985,              0.0051985
                     99,                0.66069,                 1.1148,                 1.0979,                0.75249,                0.71898,                0.78079,                0.67725,                0.52714,                0.90658,                 1.0415,               0.005149,               0.005149,               0.005149
                    100,                0.65408,                 1.0936,                 1.0937,                0.75136,                0.72122,                0.78464,                0.67977,                0.52831,                0.90183,                 1.0427,              0.0050995,              0.0050995,              0.0050995
                    101,                0.64928,                 1.0916,                 1.0891,                0.76161,                0.71829,                0.78651,                0.68219,                0.52853,                0.89785,                 1.0462,                0.00505,                0.00505,                0.00505
                    102,                0.64477,                 1.0866,                 1.0901,                0.74924,                0.72565,                0.78608,                0.68196,                0.52858,                0.89514,                 1.0461,              0.0050005,              0.0050005,              0.0050005
                    103,                0.65351,                 1.0873,                 1.0968,                0.75044,                0.72531,                0.78352,                0.67939,                0.52906,                0.90024,                  1.048,               0.004951,               0.004951,               0.004951
                    104,                0.65451,                 1.0692,                 1.0955,                0.75265,                0.72538,                0.78571,                0.68144,                0.52913,                0.89671,                 1.0481,              0.0049015,              0.0049015,              0.0049015
                    105,                0.64055,                 1.0659,                 1.0874,                0.75252,                0.72774,                0.78831,                0.68353,                0.52843,                0.88871,                 1.0486,               0.004852,               0.004852,               0.004852
                    106,                0.64613,                 1.0679,                  1.087,                0.75786,                0.72244,                0.78741,                0.68351,                0.52748,                0.88805,                 1.0479,              0.0048025,              0.0048025,              0.0048025
                    107,                0.64317,                 1.0397,                 1.0871,                0.75792,                0.72814,                0.78921,                0.68521,                0.52757,                0.88843,                 1.0467,               0.004753,               0.004753,               0.004753
                    108,                0.64477,                 1.0589,                 1.0906,                0.76073,                0.72422,                0.78912,                0.68516,                0.52684,                 0.8885,                 1.0465,              0.0047035,              0.0047035,              0.0047035
                    109,                0.64193,                 1.0489,                 1.0844,                0.77736,                0.71383,                0.78865,                0.68361,                0.52878,                0.88932,                 1.0465,               0.004654,               0.004654,               0.004654
                    110,                0.63804,                 1.0373,                 1.0828,                0.76378,                0.72419,                0.78866,                0.68416,                0.52611,                0.89067,                 1.0448,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.6355,                 1.0359,                 1.0814,                0.75383,                0.73082,                0.79044,                0.68533,                0.52678,                0.88865,                 1.0458,               0.004555,               0.004555,               0.004555
                    112,                0.63972,                 1.0281,                 1.0865,                0.75611,                0.72666,                0.78991,                0.68558,                0.52526,                0.88953,                 1.0439,              0.0045055,              0.0045055,              0.0045055
                    113,                0.62899,                 1.0306,                 1.0822,                0.76127,                0.72014,                0.78839,                0.68451,                0.52372,                0.89137,                 1.0438,               0.004456,               0.004456,               0.004456
                    114,                0.62946,                 1.0084,                 1.0805,                0.74745,                0.73046,                0.78829,                0.68507,                0.52308,                0.89124,                 1.0434,              0.0044065,              0.0044065,              0.0044065
                    115,                0.62908,                 0.9977,                 1.0791,                0.75476,                0.72106,                0.78765,                 0.6847,                0.52239,                0.88951,                 1.0428,               0.004357,               0.004357,               0.004357
                    116,                0.62796,                0.99535,                  1.076,                0.75271,                0.72903,                0.78877,                0.68624,                0.52193,                0.88703,                 1.0427,              0.0043075,              0.0043075,              0.0043075
                    117,                0.62654,                0.99801,                 1.0778,                0.77339,                0.71727,                0.78906,                0.68756,                 0.5213,                0.88416,                 1.0432,               0.004258,               0.004258,               0.004258
                    118,                0.63021,                0.99759,                 1.0783,                0.76766,                0.72212,                0.78977,                0.68755,                0.52195,                0.88203,                  1.044,              0.0042085,              0.0042085,              0.0042085
                    119,                0.62648,                0.98784,                 1.0774,                 0.7766,                0.71858,                0.78928,                0.68834,                 0.5215,                0.88346,                 1.0433,               0.004159,               0.004159,               0.004159
                    120,                0.62669,                0.99556,                 1.0787,                0.77059,                 0.7249,                0.78939,                0.68834,                 0.5226,                0.88397,                 1.0448,              0.0041095,              0.0041095,              0.0041095
                    121,                0.62396,                0.98462,                   1.08,                0.76971,                0.72583,                0.78972,                0.68795,                0.52348,                0.88125,                 1.0449,                0.00406,                0.00406,                0.00406
                    122,                0.62211,                0.96813,                 1.0793,                0.77304,                 0.7254,                 0.7914,                 0.6893,                0.52354,                0.87818,                  1.045,              0.0040105,              0.0040105,              0.0040105
                    123,                0.61847,                0.95881,                 1.0731,                0.77563,                0.72719,                0.79204,                0.68974,                0.52236,                0.87727,                 1.0441,               0.003961,               0.003961,               0.003961
                    124,                0.61317,                0.96025,                 1.0751,                 0.7644,                0.73208,                0.79317,                0.69149,                0.52115,                0.87522,                 1.0427,              0.0039115,              0.0039115,              0.0039115
                    125,                0.61671,                0.96028,                  1.072,                0.77764,                0.71967,                0.79333,                0.69136,                0.52047,                0.87372,                 1.0429,               0.003862,               0.003862,               0.003862
                    126,                0.61809,                0.94949,                 1.0721,                0.76423,                0.72782,                0.79261,                0.69092,                 0.5206,                0.87312,                 1.0431,              0.0038125,              0.0038125,              0.0038125
                    127,                0.61048,                0.95667,                 1.0691,                0.75356,                0.74186,                0.79412,                0.69241,                0.51985,                0.87161,                 1.0428,               0.003763,               0.003763,               0.003763
                    128,                0.60859,                0.92632,                 1.0633,                0.75916,                0.73593,                0.79464,                0.69228,                0.52035,                0.87062,                 1.0432,              0.0037135,              0.0037135,              0.0037135
                    129,                0.61609,                0.94533,                 1.0755,                0.76566,                0.73162,                0.79461,                0.69333,                0.52039,                0.86846,                 1.0429,               0.003664,               0.003664,               0.003664
